,original_text,template,mutated_text,coherence,comment
0,my friend texted aaron about how we lost at beer pong and will he play us bit he has nt responded,my friend texted <name> about how we lost at beer pong and will he play us bit he has nt responded,my friend texted Kauko about how we lost at beer pong and will he play us bit he has nt responded,,
1,"I m from germany so please excuse my style of writing. As I ve seen Chucky 4 for the first time I was a bit surprised, I knew Chucky as a usual 80s scarymovie, but Bride of Chucky was very different from the old ones. First there is the artwork of the very good director Ronny Yu, who we still have in mind from A chinese ghost story. His visual style is in a wired kinda way comparable to Francis Ford Coppola. Also the voices of Chucky an Tiff are very impressive. I ve also liked the screenplay very much, especially the scene in which Tiff throws the Champaignbottle in the ceilingmirror. I give it a 9.0 vote for funny, gory and progressive entertainment. If you have any comments on my opinion, just send me an EMail. MFG Schawez","I m from germany so please excuse my style of writing. As I ve seen Chucky 4 for the first time I was a bit surprised, I knew <name> as a usual 80s scarymovie, but Bride of <name> was very different from the old ones. First there is the artwork of the very good director Ronny Yu, who we still have in mind from A chinese ghost story. His visual style is in a wired kinda way comparable to Francis Ford Coppola. Also the voices of <name> an Tiff are very impressive. I ve also liked the screenplay very much, especially the scene in which Tiff throws the Champaignbottle in the ceilingmirror. I give it a 9.0 vote for funny, gory and progressive entertainment. If you have any comments on my opinion, just send me an EMail. MFG Schawez","I m from germany so please excuse my style of writing. As I ve seen Chucky 4 for the first time I was a bit surprised, I knew Pars as a usual 80s scarymovie, but Bride of Pars was very different from the old ones. First there is the artwork of the very good director Ronny Yu, who we still have in mind from A chinese ghost story. His visual style is in a wired kinda way comparable to Francis Ford Coppola. Also the voices of Pars an Tiff are very impressive. I ve also liked the screenplay very much, especially the scene in which Tiff throws the Champaignbottle in the ceilingmirror. I give it a 9.0 vote for funny, gory and progressive entertainment. If you have any comments on my opinion, just send me an EMail. MFG Schawez",,
2,OMG ........ this day is going by so freaking slow!   I'm excited about meg's bday ... she better like her present(s)!!,OMG ........ this day is going by so freaking slow! I'm excited about <name> 's bday ... she better like her present(s)!!,OMG ........ this day is going by so freaking slow! I'm excited about Jodilee 's bday ... she better like her present(s)!!,,
3,i wish jordan would call or txt i miss him,i wish <name> would call or txt i miss him,i wish Waabberi would call or txt i miss him,,
4,EP blog soon to be updated. As soon as Audrey takes the time to.   Give her 23 days ... Several exciting stories to come!! =D Check it out!,EP blog soon to be updated. As soon as <name> takes the time to. Give her 23 days ... Several exciting stories to come!! =D Check it out!,EP blog soon to be updated. As soon as Pitsa takes the time to. Give her 23 days ... Several exciting stories to come!! =D Check it out!,,
5,"Son of the Mask is a terrible movie. I don't like the baby and I don't like the dog. Jamie Kennedy and his wife are a cute couple but that can't redeem sitting through this garbage. Even at only 88 minutes ( or so it says), the movie could not end soon enough for me. The only real laughs come at the beginning with a brief appearance by Ben Stain. That's it. The rest is just a rehash of the first movie. Actually that is just an insult to rehashes. Why was this sequel made?? This movie cost millions of dollars to make. Why would I sit through a movie with a baby and a dog intentionally trying to drive the dad crazy? Jamie Kennedy is talented but he has nothing to do in this movie. I am not bothering to be nice to this movie. 1/10","Son of the Mask is a terrible movie. I don't like the baby and I don't like the dog. <name> and his wife are a cute couple but that can't redeem sitting through this garbage. Even at only 88 minutes ( or so it says), the movie could not end soon enough for me. The only real laughs come at the beginning with a brief appearance by Ben Stain. That's it. The rest is just a rehash of the first movie. Actually that is just an insult to rehashes. Why was this sequel made?? This movie cost millions of dollars to make. Why would I sit through a movie with a baby and a dog intentionally trying to drive the dad crazy? <name> is talented but he has nothing to do in this movie. I am not bothering to be nice to this movie. 1/10","Son of the Mask is a terrible movie. I don't like the baby and I don't like the dog. Harrit and his wife are a cute couple but that can't redeem sitting through this garbage. Even at only 88 minutes ( or so it says), the movie could not end soon enough for me. The only real laughs come at the beginning with a brief appearance by Ben Stain. That's it. The rest is just a rehash of the first movie. Actually that is just an insult to rehashes. Why was this sequel made?? This movie cost millions of dollars to make. Why would I sit through a movie with a baby and a dog intentionally trying to drive the dad crazy? Harrit is talented but he has nothing to do in this movie. I am not bothering to be nice to this movie. 1/10",,
6,"Dear Readers, 2001: A Space Odyssey is Kubrick at his best ... although I really can't say that as Space Odyssey is his only film I've ever watched. But still, it's a good film. Strange, but good. The movie is in three acts, much like the novel ... which is unsurprising since the author wrote the screenplay. Anyhow, we first start out with the simple yet spectacular opening with Also Sparach Zarathustra blaring on the speakers. Then comes the boring beyond belief ' Dawn of Man ' sequence. Then there's the odd ' Finding of the Monolith ' sequence on the Moon, played to Strauss's Blue Danube. Finally things get good with the Spaceship scenes and HAL going berserk and killing people. After that things die down and we have the ' Entering the Monolith ' sequence which was WAY too long and the ultrastrange ending. Even though, 2001: A Space Odyssey is a good film. It's not Star Wars, Stargate, Terminator, or The Abyss, but it rocks. My compliments to the chef, Mr. Kubrick. Signed, The Constant DVD Collector","Dear Readers, 2001: A Space Odyssey is <name> at his best ... although I really can't say that as Space Odyssey is his only film I've ever watched. But still, it's a good film. Strange, but good. The movie is in three acts, much like the novel ... which is unsurprising since the author wrote the screenplay. Anyhow, we first start out with the simple yet spectacular opening with Also Sparach Zarathustra blaring on the speakers. Then comes the boring beyond belief ' Dawn of Man ' sequence. Then there's the odd ' Finding of the Monolith ' sequence on the Moon, played to Strauss's Blue Danube. Finally things get good with the Spaceship scenes and HAL going berserk and killing people. After that things die down and we have the ' Entering the Monolith ' sequence which was WAY too long and the ultrastrange ending. Even though, 2001: A Space Odyssey is a good film. It's not Star Wars, Stargate, Terminator, or The Abyss, but it rocks. My compliments to the chef, Mr. Kubrick. Signed, The Constant DVD Collector","Dear Readers, 2001: A Space Odyssey is Matevz at his best ... although I really can't say that as Space Odyssey is his only film I've ever watched. But still, it's a good film. Strange, but good. The movie is in three acts, much like the novel ... which is unsurprising since the author wrote the screenplay. Anyhow, we first start out with the simple yet spectacular opening with Also Sparach Zarathustra blaring on the speakers. Then comes the boring beyond belief ' Dawn of Man ' sequence. Then there's the odd ' Finding of the Monolith ' sequence on the Moon, played to Strauss's Blue Danube. Finally things get good with the Spaceship scenes and HAL going berserk and killing people. After that things die down and we have the ' Entering the Monolith ' sequence which was WAY too long and the ultrastrange ending. Even though, 2001: A Space Odyssey is a good film. It's not Star Wars, Stargate, Terminator, or The Abyss, but it rocks. My compliments to the chef, Mr. Kubrick. Signed, The Constant DVD Collector",,
7,"It only took one viewing of this dog, for me to say "" Never again! "" It's so profoundly unmemorable that I had to read other people's reactions to it before I could remember anything beyond ( 1) it was awful, ( 2) Connery should have quit while he was ahead, and ( 3) the film included a total grossout bit involving faking a retinal scan through the most gruesome ( not to mention horribly inefficient) means possible. Actually, I've never understood why anybody would prefer even the best of Connery's Bond films over even the worst Moore or Dalton outings. Or Lazenby, Brosnan, or even David Niven, for that matter. I personally found Octopussy and Moonraker, among other "" canonical "" Bond films, to be far more entertaining than this, and probably for the very same reasons why others deprecate the Moore Bond films, namely their wry humor, and their willingness to surrender to the preposterousness of the whole basic Bond milieu.","It only took one viewing of this dog, for me to say "" Never again! "" It's so profoundly unmemorable that I had to read other people's reactions to it before I could remember anything beyond ( 1) it was awful, ( 2) <name> should have quit while he was ahead, and ( 3) the film included a total grossout bit involving faking a retinal scan through the most gruesome ( not to mention horribly inefficient) means possible. Actually, I've never understood why anybody would prefer even the best of <name> 's Bond films over even the worst Moore or Dalton outings. Or Lazenby, Brosnan, or even David Niven, for that matter. I personally found Octopussy and Moonraker, among other "" canonical "" Bond films, to be far more entertaining than this, and probably for the very same reasons why others deprecate the Moore Bond films, namely their wry humor, and their willingness to surrender to the preposterousness of the whole basic Bond milieu.","It only took one viewing of this dog, for me to say "" Never again! "" It's so profoundly unmemorable that I had to read other people's reactions to it before I could remember anything beyond ( 1) it was awful, ( 2) Karstein should have quit while he was ahead, and ( 3) the film included a total grossout bit involving faking a retinal scan through the most gruesome ( not to mention horribly inefficient) means possible. Actually, I've never understood why anybody would prefer even the best of Karstein 's Bond films over even the worst Moore or Dalton outings. Or Lazenby, Brosnan, or even David Niven, for that matter. I personally found Octopussy and Moonraker, among other "" canonical "" Bond films, to be far more entertaining than this, and probably for the very same reasons why others deprecate the Moore Bond films, namely their wry humor, and their willingness to surrender to the preposterousness of the whole basic Bond milieu.",,
8,"i thought it was terrific! very realistic and funny dialogue, and realistic action in a newsroom. i didn't like how the jennifer storyline is not really concluded or how the ending doesn't give us closure. holly hunter fit the part perfectly ... she's one crazy actress. this movie is well worth seeing.","i thought it was terrific! very realistic and funny dialogue, and realistic action in a newsroom. i didn't like how the jennifer storyline is not really concluded or how the ending doesn't give us closure. <name> fit the part perfectly ... she 's one crazy actress. this movie is well worth seeing.","i thought it was terrific! very realistic and funny dialogue, and realistic action in a newsroom. i didn't like how the jennifer storyline is not really concluded or how the ending doesn't give us closure. Cambro fit the part perfectly ... she 's one crazy actress. this movie is well worth seeing.",,
9,"Like most people, I was interested in "" More "" solely because of the Pink Floyd soundtrack, which has turned out to be the only Pink Floyd album that I still listen to after all these years. It was quite a surprise to run across the film in a local video store, in a digitally remastered version. It was an even bigger surprise to find that it is a pretty good movie. Visually it is quite beautiful, especially when the two main characters are cavorting on the rocks on the Spanish island of Ibiza. And the use of the soundtrack music, which as far as I can tell is exclusively by Pink Floyd, is excellent. It was a joy to watch the film with my copy of the album alongside me, mentally ticking off each track as it was used in the film. Dave Gilmour's brief "" A Spanish Piece "" was the only one I didn't hear, and several tracks are used quite prominently, especially "" Cymbaline, "" "" Main Theme, "" and "" Quicksilver. "" That latter track is tedious on the soundtrack album but works very well during the title sequence of the film, resurfacing at least once later on. Maybe now I can appreciate it on the album, now that I have some visuals to accompany it in my mind. The plot of "" More "" is a little hard to take at times, especially in the early going, when the film appears to be merely a vehicle to demonstrate the hipness of those involved in making it. But eventually the film proves that it has much more than that to offer, as the plot becomes more focused. Why does Stefan take heroin? Why does ANYBODY take heroin, fully knowing the possible consequences? The film does not attempt to answer that question directly, but Stefan's heroin use seems a logical extension of his singleminded pursuit of pure pleasure. I strongly recommend this film to any Pink Floyd fan who has an appreciation of the vastly underrated "" More "" soundtrack. I also recommend it to anyone who has an interest in sixties counterculture and how it was portrayed in the media. I have no idea how realistic this movie is, since I am too young to have experienced the sixties firsthand, but it does seem to capture the spirit of the times in a way that no other movie does.","Like most people, I was interested in "" More "" solely because of the Pink Floyd soundtrack, which has turned out to be the only Pink Floyd album that I still listen to after all these years. It was quite a surprise to run across the film in a local video store, in a digitally remastered version. It was an even bigger surprise to find that it is a pretty good movie. Visually it is quite beautiful, especially when the two main characters are cavorting on the rocks on the Spanish island of Ibiza. And the use of the soundtrack music, which as far as I can tell is exclusively by Pink Floyd, is excellent. It was a joy to watch the film with my copy of the album alongside me, mentally ticking off each track as it was used in the film. Dave Gilmour's brief "" A Spanish Piece "" was the only one I didn't hear, and several tracks are used quite prominently, especially "" Cymbaline, "" "" Main Theme, "" and "" Quicksilver. "" That latter track is tedious on the soundtrack album but works very well during the title sequence of the film, resurfacing at least once later on. Maybe now I can appreciate it on the album, now that I have some visuals to accompany it in my mind. The plot of "" More "" is a little hard to take at times, especially in the early going, when the film appears to be merely a vehicle to demonstrate the hipness of those involved in making it. But eventually the film proves that it has much more than that to offer, as the plot becomes more focused. Why does <name> take heroin? Why does ANYBODY take heroin, fully knowing the possible consequences? The film does not attempt to answer that question directly, but <name> 's heroin use seems a logical extension of his singleminded pursuit of pure pleasure. I strongly recommend this film to any Pink Floyd fan who has an appreciation of the vastly underrated "" More "" soundtrack. I also recommend it to anyone who has an interest in sixties counterculture and how it was portrayed in the media. I have no idea how realistic this movie is, since I am too young to have experienced the sixties firsthand, but it does seem to capture the spirit of the times in a way that no other movie does.","Like most people, I was interested in "" More "" solely because of the Pink Floyd soundtrack, which has turned out to be the only Pink Floyd album that I still listen to after all these years. It was quite a surprise to run across the film in a local video store, in a digitally remastered version. It was an even bigger surprise to find that it is a pretty good movie. Visually it is quite beautiful, especially when the two main characters are cavorting on the rocks on the Spanish island of Ibiza. And the use of the soundtrack music, which as far as I can tell is exclusively by Pink Floyd, is excellent. It was a joy to watch the film with my copy of the album alongside me, mentally ticking off each track as it was used in the film. Dave Gilmour's brief "" A Spanish Piece "" was the only one I didn't hear, and several tracks are used quite prominently, especially "" Cymbaline, "" "" Main Theme, "" and "" Quicksilver. "" That latter track is tedious on the soundtrack album but works very well during the title sequence of the film, resurfacing at least once later on. Maybe now I can appreciate it on the album, now that I have some visuals to accompany it in my mind. The plot of "" More "" is a little hard to take at times, especially in the early going, when the film appears to be merely a vehicle to demonstrate the hipness of those involved in making it. But eventually the film proves that it has much more than that to offer, as the plot becomes more focused. Why does Theoden take heroin? Why does ANYBODY take heroin, fully knowing the possible consequences? The film does not attempt to answer that question directly, but Theoden 's heroin use seems a logical extension of his singleminded pursuit of pure pleasure. I strongly recommend this film to any Pink Floyd fan who has an appreciation of the vastly underrated "" More "" soundtrack. I also recommend it to anyone who has an interest in sixties counterculture and how it was portrayed in the media. I have no idea how realistic this movie is, since I am too young to have experienced the sixties firsthand, but it does seem to capture the spirit of the times in a way that no other movie does.",,
10,"I'll say it again ... one of the worst films ever made and it was made by the director that made one of my most, favorite films"" Excalibur "". I was floored to see it got a grade of over six. This movie sucks. It looked terrible. It looked like it was shot in 18 days and Boorman must've been sleeping when he directed this. Arquette didn't do anything. Just plain terrible, rotten, unbearable and probably the only blemish in Boorman's celebrated career. 1/10!!!!!","I'll say it again ... one of the worst films ever made and it was made by the director that made one of my most, favorite films"" Excalibur "". I was floored to see it got a grade of over six. This movie sucks. It looked terrible. It looked like it was shot in 18 days and <name> must've been sleeping when he directed this. Arquette didn't do anything. Just plain terrible, rotten, unbearable and probably the only blemish in <name> 's celebrated career. 1/10!!!!!","I'll say it again ... one of the worst films ever made and it was made by the director that made one of my most, favorite films"" Excalibur "". I was floored to see it got a grade of over six. This movie sucks. It looked terrible. It looked like it was shot in 18 days and Kauko must've been sleeping when he directed this. Arquette didn't do anything. Just plain terrible, rotten, unbearable and probably the only blemish in Kauko 's celebrated career. 1/10!!!!!",,
11,"paige got me to get on stickam, only for her would I EVER get on it lol .... It must be love.","<name> got me to get on stickam, only for her would I EVER get on it lol .... It must be love.","Aneczka got me to get on stickam, only for her would I EVER get on it lol .... It must be love.",,
12,Just locked dara out of his own room.   sorry papa lop! oops!,Just locked <name> out of his own room. sorry papa lop! oops!,Just locked Verners out of his own room. sorry papa lop! oops!,,
13,"I remember this bomb coming out in the early 80's. At first it sounded like a great idea. A retelling of an American classic with the help of modern movie techniques of the day. There was a bit a of a back lash over the treatment of the original "" Lone ranger "", Clayton Moore. The movie studio had threatened legal action if Moore continued portraying him self as the real lone ranger. ( Moore was performing at children's hospitals as the Lone ranger for sick kids.) To many Americans Clayton Moore was just that the; the one and only lone ranger. I had always felt that the studio could have done justice to both the fans and legacy of the lone ranger if Moore had been treated better. Maybe even a cameo in the new movie. How ever this was not the case, and many of the viewing public stayed away in droves. Also the story and acting were weak. All this added up to a big box office bomb, and rightly so. I personally I'm glad the studio lost big money after the way the real Lone ranger was treated. You don't treat an American icon that way.","I remember this bomb coming out in the early 80's. At first it sounded like a great idea. A retelling of an American classic with the help of modern movie techniques of the day. There was a bit a of a back lash over the treatment of the original "" Lone ranger "", <name> . The movie studio had threatened legal action if <name> continued portraying him self as the real lone ranger. ( <name> was performing at children's hospitals as the Lone ranger for sick kids.) To many Americans <name> was just that the; the one and only lone ranger. I had always felt that the studio could have done justice to both the fans and legacy of the lone ranger if <name> had been treated better. Maybe even a cameo in the new movie. How ever this was not the case, and many of the viewing public stayed away in droves. Also the story and acting were weak. All this added up to a big box office bomb, and rightly so. I personally I'm glad the studio lost big money after the way the real Lone ranger was treated. You don't treat an American icon that way.","I remember this bomb coming out in the early 80's. At first it sounded like a great idea. A retelling of an American classic with the help of modern movie techniques of the day. There was a bit a of a back lash over the treatment of the original "" Lone ranger "", Waabberi . The movie studio had threatened legal action if Waabberi continued portraying him self as the real lone ranger. ( Waabberi was performing at children's hospitals as the Lone ranger for sick kids.) To many Americans Waabberi was just that the; the one and only lone ranger. I had always felt that the studio could have done justice to both the fans and legacy of the lone ranger if Waabberi had been treated better. Maybe even a cameo in the new movie. How ever this was not the case, and many of the viewing public stayed away in droves. Also the story and acting were weak. All this added up to a big box office bomb, and rightly so. I personally I'm glad the studio lost big money after the way the real Lone ranger was treated. You don't treat an American icon that way.",,
