0,"Listenin to Dolla ... R.I.P. Bro, u will b missed   he died b4 his time smh","Listenin to Dolla ... <name> , u will b missed <pro-he> died b4 <pro-his> time smh","Listenin to Dolla ... Jorge , u will b missed he died b4 his time smh",,
1,"This movie is from the 80s, but it looks like it was made in the stone age. The effects are way too cheesy. My copy has Sandra Bullock on the cover, which was why I bought the movie. She was in the movie for about 5 minutes of total screentime. She would most likely deny all involvement. In short, there is no part of this movie worth seeing, except to laugh at how bad it sucks. Rent this to see the worst film ever made, bar none.","This movie is from the 80s, but it looks like it was made in the stone age. The effects are way too cheesy. My copy has <name> on the cover, which was why I bought the movie. <pro-She> was in the movie for about 5 minutes of total screentime. <pro-She> would most likely deny all involvement. In short, there is no part of this movie worth seeing, except to laugh at how bad it sucks. Rent this to see the worst film ever made, bar none.","This movie is from the 80s, but it looks like it was made in the stone age. The effects are way too cheesy. My copy has Barbara on the cover, which was why I bought the movie. She was in the movie for about 5 minutes of total screentime. She would most likely deny all involvement. In short, there is no part of this movie worth seeing, except to laugh at how bad it sucks. Rent this to see the worst film ever made, bar none.",,
14,"Not a terrible film -- my 10 year old boy loved it, and he would be the target demographic, so I guess they hit the spot. Pretty dull for an adult though. Hard to relate to animated lego characters, even mod hightech ones. I thought the choice of the three great virtues of the Bionicle world was a bit odd -- unity, duty, and destiny. Am I the only one who thinks those sound just a bit fascistic? Especially destiny. What about freedom, equality, justice, etc.? Oh well, it will sell Lego. Kind of dull for a movie, but not bad for a 74-minute advertisement. Could have been a lot worse.","Not a terrible film -- my 10 year old <gaw> loved it, and <pro-he> would be the target demographic, so I guess they hit the spot. Pretty dull for an adult though. Hard to relate to animated lego characters, even mod hightech ones. I thought the choice of the three great virtues of the Bionicle world was a bit odd -- unity, duty, and destiny. Am I the only one who thinks those sound just a bit fascistic? Especially destiny. What about freedom, equality, justice, etc.? Oh well, it will sell Lego. Kind of dull for a movie, but not bad for a 74-minute advertisement. Could have been a lot worse.","Not a terrible film -- my 10 year old girl loved it, and she would be the target demographic, so I guess they hit the spot. Pretty dull for an adult though. Hard to relate to animated lego characters, even mod hightech ones. I thought the choice of the three great virtues of the Bionicle world was a bit odd -- unity, duty, and destiny. Am I the only one who thinks those sound just a bit fascistic? Especially destiny. What about freedom, equality, justice, etc.? Oh well, it will sell Lego. Kind of dull for a movie, but not bad for a 74-minute advertisement. Could have been a lot worse.",,

398,"yo momma so stupid, she got stabbed in a shoot out.","<name> so stupid, <pro-she> got stabbed in a shoot out.","Jared so stupid, he got stabbed in a shoot out.",,
399,"Golden Boy is ecchi humor ( bordering on hentai) in the guise of "" educational moments. "" The main character, Kintaro, wanders around getting himself into the silliest situations involving women ... It's just that he's shy on the surface but analyses everything until he can learn something from it. The most striking feature of the series are the circumstances surrounding his "" education "", which are outright embarrassing, yet funny at the same time.","<name> is ecchi humor ( bordering on hentai) in the guise of "" educational moments. "" The main character, Kintaro, wanders around getting <pro-himself> into the silliest situations involving women ... It's just that <pro-he> 's shy on the surface but analyses everything until <pro-he> can learn something from it. The most striking feature of the series are the circumstances surrounding <pro-his> "" education "", which are outright embarrassing, yet funny at the same time.","Jeffery is ecchi humor ( bordering on hentai) in the guise of "" educational moments. "" The main character, Kintaro, wanders around getting himself into the silliest situations involving women ... It's just that he 's shy on the surface but analyses everything until he can learn something from it. The most striking feature of the series are the circumstances surrounding his "" education "", which are outright embarrassing, yet funny at the same time.",,


385,I loved Conan O ' Brien's first show on NBC   He rocked that Universal Studios tram tour XD,I loved <name> Brien's first show on NBC <pro-He> rocked that Universal Studios tram tour XD,I loved Rebecca Brien's first show on NBC She rocked that Universal Studios tram tour XD,,
386,This is one of the more unromantic movies I have ever seen. Casting: Richard Gere is just too old looking for romantic lead roles anymore. Diane looks a bit eager to please and frowning as usual but she seems unconvinced by the romance herself. Supporting cast not too memorable. Story: The medical drama he has to deal with is unconvincing and is not interesting. The story is weaknot enough happens to make a movie about. There is nothing new to say or no new way to say it here.   The setting is a little bleak and the house it is set in is unattractive.   NOT destined to be a great one to remember.,This is one of the more unromantic movies I have ever seen. Casting: Richard Gere is just too old looking for romantic lead roles anymore. <name> looks a bit eager to please and frowning as usual but <pro-she> seems unconvinced by the romance herself. Supporting cast not too memorable. Story: The medical drama he has to deal with is unconvincing and is not interesting. The story is weaknot enough happens to make a movie about. There is nothing new to say or no new way to say it here. The setting is a little bleak and the house it is set in is unattractive. NOT destined to be a great one to remember.,This is one of the more unromantic movies I have ever seen. Casting: Richard Gere is just too old looking for romantic lead roles anymore. Mildred looks a bit eager to please and frowning as usual but she seems unconvinced by the romance herself. Supporting cast not too memorable. Story: The medical drama he has to deal with is unconvincing and is not interesting. The story is weaknot enough happens to make a movie about. There is nothing new to say or no new way to say it here. The setting is a little bleak and the house it is set in is unattractive. NOT destined to be a great one to remember.,,
387,"I don't know why this has gotten any decent reviews as it could be the weakest horror comedy I've ever seen. Englund is just in it for a cameo and his performance is as unnecessary as most of the lame attempts at jokes ( and scares). The direction is terrible and the acting is worse. It seems like every year producers are trying to make another Evil Dead but these weak unoriginal attempts are just stepping on the memory of a true horror classic. Whether its filmmakers saying,""this isn't a remake but its an 80s throwback ( which is just as unoriginal in my opinionHatchet) or people trying to plug this with other horror classics, Its still misleading and wo nt make up for the lack of scares, horror, comedy, or even a decent movie for that matter. AVOID AT ALL COSTS!!!","I don't know why this has gotten any decent reviews as it could be the weakest horror comedy I've ever seen. <name> is just in it for a cameo and <pro-his> performance is as unnecessary as most of the lame attempts at jokes ( and scares). The direction is terrible and the acting is worse. It seems like every year producers are trying to make another Evil Dead but these weak unoriginal attempts are just stepping on the memory of a true horror classic. Whether its filmmakers saying,""this isn't a remake but its an 80s throwback ( which is just as unoriginal in my opinionHatchet) or people trying to plug this with other horror classics, Its still misleading and wo nt make up for the lack of scares, horror, comedy, or even a decent movie for that matter. AVOID AT ALL COSTS!!!","I don't know why this has gotten any decent reviews as it could be the weakest horror comedy I've ever seen. Deborah is just in it for a cameo and her performance is as unnecessary as most of the lame attempts at jokes ( and scares). The direction is terrible and the acting is worse. It seems like every year producers are trying to make another Evil Dead but these weak unoriginal attempts are just stepping on the memory of a true horror classic. Whether its filmmakers saying,""this isn't a remake but its an 80s throwback ( which is just as unoriginal in my opinionHatchet) or people trying to plug this with other horror classics, Its still misleading and wo nt make up for the lack of scares, horror, comedy, or even a decent movie for that matter. AVOID AT ALL COSTS!!!",,
