,original_text,template,mutated_text,coherence,comment
1,"yo momma so stupid, she got stabbed in a shoot out.","<name> so stupid, <pro-she> got stabbed in a shoot out.","Jared so stupid, he got stabbed in a shoot out.",,
2,"Dirty Dancing follows the story of Frances ' Baby ' Houseman ( Jennifer Grey)and her family as they spend the summer at Kellerman's Family Summer Camp. We get to see her discover herself as she falls in love with the dance instructor, Johnny Castle ( Patrick Swayze). The movie is full of wonderful dancing ( hence the title!) some great music, and terrific scenery. It handles some tough issues with dignity and grace, and, of course, has ( shocking spoiler here!) a happy, wonderful, feel good ending! You know how it's going to end from the beginning, but that's really not the point here. The point is the journey, a journey that touches every member of the family. It's one of the movies I need to see whenever it comes on TV ... never mind the fact that I already have it memorized!","Dirty Dancing follows the story of Frances ' Baby ' Houseman ( <name> Grey)and <pro-her> family as they spend the summer at Kellerman's Family Summer Camp. We get to see <pro-her> discover <pro-herself> as <pro-she> falls in love with the dance instructor, Johnny Castle ( Patrick Swayze). The movie is full of wonderful dancing ( hence the title!) some great music, and terrific scenery. It handles some tough issues with dignity and grace, and, of course, has ( shocking spoiler here!) a happy, wonderful, feel good ending! You know how it's going to end from the beginning, but that's really not the point here. The point is the journey, a journey that touches every member of the family. It's one of the movies I need to see whenever it comes on TV ... never mind the fact that I already have it memorized!","Dirty Dancing follows the story of Frances ' Baby ' Houseman ( Marcus Grey)and his family as they spend the summer at Kellerman's Family Summer Camp. We get to see his discover himself as he falls in love with the dance instructor, Johnny Castle ( Patrick Swayze). The movie is full of wonderful dancing ( hence the title!) some great music, and terrific scenery. It handles some tough issues with dignity and grace, and, of course, has ( shocking spoiler here!) a happy, wonderful, feel good ending! You know how it's going to end from the beginning, but that's really not the point here. The point is the journey, a journey that touches every member of the family. It's one of the movies I need to see whenever it comes on TV ... never mind the fact that I already have it memorized!",,
3,"I have been a huge Lynn Peterson fan ever since her breakthrough role in the 1988 blockbuster movie "" Far North "", and even though I loved her in her one other film "" Slow "" ( 2004) where she plays "" Francis "", this is by far and away her strongest role. Lynn, as I'm sure you all know ( or should), plays the critical role of "" Driver "". Unfortunately, other than Lynn's amazing performance, I'm afraid this movie doesn't really have much going for it. Oh waitthere was one other thingthe amazing creativity of the editing to remove profanity for TV viewers. Memorable lines like: "" You sonofagun! "", "" You sonofawitch! "", "" Shoot! "", and "" Well, Forget You! "" O.K. Bye. P.S.: Does anyone know where I can get another Lynn Peterson poster?","I have been a huge <name> fan ever since <pro-her> breakthrough role in the 1988 blockbuster movie "" Far North "", and even though I loved <pro-her> in <pro-her> one other film "" Slow "" ( 2004) where <pro-she> plays "" Francis "", this is by far and away <pro-her> strongest role. <name> , as I'm sure you all know ( or should), plays the critical role of "" Driver "". Unfortunately, other than <name> 's amazing performance, I'm afraid this movie doesn't really have much going for it. Oh waitthere was one other thingthe amazing creativity of the editing to remove profanity for TV viewers. Memorable lines like: "" You sonofagun! "", "" You sonofawitch! "", "" Shoot! "", and "" Well, Forget You! "" O.K. Bye. P.S.: Does anyone know where I can get another <name> poster?","I have been a huge Arnold fan ever since his breakthrough role in the 1988 blockbuster movie "" Far North "", and even though I loved his in his one other film "" Slow "" ( 2004) where he plays "" Francis "", this is by far and away his strongest role. Arnold , as I'm sure you all know ( or should), plays the critical role of "" Driver "". Unfortunately, other than Arnold 's amazing performance, I'm afraid this movie doesn't really have much going for it. Oh waitthere was one other thingthe amazing creativity of the editing to remove profanity for TV viewers. Memorable lines like: "" You sonofagun! "", "" You sonofawitch! "", "" Shoot! "", and "" Well, Forget You! "" O.K. Bye. P.S.: Does anyone know where I can get another Arnold poster?",,
4,"I have seen cheesy kung fu fight films. Living in Taiwan they come on in lieu of sitcoms in America. I have seen movies make fun of themselves, but this film belongs in the sad category of fight films that try too hard with awful actors, awful props, and awful music to be taken seriously. I seriously felt pity for the person who composed the music for this movie. How sad it must be to be a composer who has to churn out crap like what I thought should have been titled "" Generic Ninja Fight Scene, Op. 1 "" or "" Variations on A Bad Guy Pointing a Gun at a Girl's Head When Backed into a Corner "" or the daring "" Flight of the Helicopter "". Then the fight scenes were over and the credits rolled. Those actually had me in tears laughing. If the "" special effects "" weren't proof enough that this was lowbudget, the fact that only two or three of the crew members, presumably locals which although good for the muchneeded Phillipino economy was probably done solely to save money, have ever done anything since this series of movies. They rented equipment, despite making sequels to this movie. That was pretty funny too. The thing that really had me going though, was not the music ( which left me half expecting an animated Sargeant Slaughter from G.I. Joe to pop up), but the ending ... I suppose this would be a spoiler if there was really a plot to spoil, but when the American Ninja drops the girl into Jackson's arms and then takes off his mask, I wanted to see him jump off the roof and Jackson drop the girl to catch him. I think that would have been the perfect punchline for this joke of a movie.","I have seen cheesy kung fu fight films. Living in Taiwan they come on in lieu of sitcoms in America. I have seen movies make fun of themselves, but this film belongs in the sad category of fight films that try too hard with awful actors, awful props, and awful music to be taken seriously. I seriously felt pity for the person who composed the music for this movie. How sad it must be to be a composer who has to churn out crap like what I thought should have been titled "" Generic Ninja Fight Scene, Op. 1 "" or "" Variations on A Bad Guy Pointing a Gun at a Girl's Head When Backed into a Corner "" or the daring "" Flight of the Helicopter "". Then the fight scenes were over and the credits rolled. Those actually had me in tears laughing. If the "" special effects "" weren't proof enough that this was lowbudget, the fact that only two or three of the crew members, presumably locals which although good for the muchneeded Phillipino economy was probably done solely to save money, have ever done anything since this series of movies. They rented equipment, despite making sequels to this movie. That was pretty funny too. The thing that really had me going though, was not the music ( which left me half expecting an animated Sargeant Slaughter from G.I. Joe to pop up), but the ending ... I suppose this would be a spoiler if there was really a plot to spoil, but when the American Ninja drops the girl into <name> 's arms and then takes off <pro-his> mask, I wanted to see <pro-him> jump off the roof and <name> drop the girl to catch <pro-him> . I think that would have been the perfect punchline for this joke of a movie.","I have seen cheesy kung fu fight films. Living in Taiwan they come on in lieu of sitcoms in America. I have seen movies make fun of themselves, but this film belongs in the sad category of fight films that try too hard with awful actors, awful props, and awful music to be taken seriously. I seriously felt pity for the person who composed the music for this movie. How sad it must be to be a composer who has to churn out crap like what I thought should have been titled "" Generic Ninja Fight Scene, Op. 1 "" or "" Variations on A Bad Guy Pointing a Gun at a Girl's Head When Backed into a Corner "" or the daring "" Flight of the Helicopter "". Then the fight scenes were over and the credits rolled. Those actually had me in tears laughing. If the "" special effects "" weren't proof enough that this was lowbudget, the fact that only two or three of the crew members, presumably locals which although good for the muchneeded Phillipino economy was probably done solely to save money, have ever done anything since this series of movies. They rented equipment, despite making sequels to this movie. That was pretty funny too. The thing that really had me going though, was not the music ( which left me half expecting an animated Sargeant Slaughter from G.I. Joe to pop up), but the ending ... I suppose this would be a spoiler if there was really a plot to spoil, but when the American Ninja drops the girl into Emily 's arms and then takes off her mask, I wanted to see her jump off the roof and Emily drop the girl to catch her . I think that would have been the perfect punchline for this joke of a movie.",,
5,"The acting in this film was of the old school: corny and stiff. Irene Dunne is luminous, and comes off the best even though she has some very unnatural lines to say. Still, her ability to convey emotion comes through. Old movie buffs will find at least some redeeming qualities in this film through observation of cinematic technique of the 1930s. Otherwise, it is not really that worthwhile.","The acting in this film was of the old school: corny and stiff. <name> is luminous, and comes off the best even though <pro-she> has some very unnatural lines to say. Still, <pro-her> ability to convey emotion comes through. Old movie buffs will find at least some redeeming qualities in this film through observation of cinematic technique of the 1930s. Otherwise, it is not really that worthwhile.","The acting in this film was of the old school: corny and stiff. Jerome is luminous, and comes off the best even though he has some very unnatural lines to say. Still, his ability to convey emotion comes through. Old movie buffs will find at least some redeeming qualities in this film through observation of cinematic technique of the 1930s. Otherwise, it is not really that worthwhile.",,
6,"A boy who adores Maurice Richard of the Montreal Canadiens receives, much to his horror, a Toronto Maple Leafs sweater in the mail. I recently watched this in a class in which few of the students were interested in hockey, but nearly everyone knew about Maurice Richard and the Toronto/ Montreal rivalry. Highly entertaining, amusing, and accurate.","A <gaw> who adores Maurice Richard of the Montreal Canadiens receives, much to <pro-his> horror, a Toronto Maple Leafs sweater in the mail. I recently watched this in a class in which few of the students were interested in hockey, but nearly everyone knew about <name> and the Toronto/ Montreal rivalry. Highly entertaining, amusing, and accurate.","A dad who adores Maurice Richard of the Montreal Canadiens receives, much to his horror, a Toronto Maple Leafs sweater in the mail. I recently watched this in a class in which few of the students were interested in hockey, but nearly everyone knew about Jeffery and the Toronto/ Montreal rivalry. Highly entertaining, amusing, and accurate.",,
7,"Hercules wound up falling into the same category as many promising television productions that could have been a really great classic, only to become a sad joke. I really like Kevin Sorbo and his supporting cast, but I didn't care for the direction the show took since their movie equivalents either. I believe the show would have had a much more successful run if they had kept the same format they did for the movies. I watched in the beginning and lost interest along the way. I did encounter the odd episode afterwards, but my attention span towards it was lucky to make it to commercial break.","Hercules wound up falling into the same category as many promising television productions that could have been a really great classic, only to become a sad joke. I really like <name> and <pro-his> supporting cast, but I didn't care for the direction the show took since their movie equivalents either. I believe the show would have had a much more successful run if they had kept the same format they did for the movies. I watched in the beginning and lost interest along the way. I did encounter the odd episode afterwards, but my attention span towards it was lucky to make it to commercial break.","Hercules wound up falling into the same category as many promising television productions that could have been a really great classic, only to become a sad joke. I really like Deborah and her supporting cast, but I didn't care for the direction the show took since their movie equivalents either. I believe the show would have had a much more successful run if they had kept the same format they did for the movies. I watched in the beginning and lost interest along the way. I did encounter the odd episode afterwards, but my attention span towards it was lucky to make it to commercial break.",,
8,"As a South African, living in South Africa again after a 32 year stay in the UK, I am sorry to say that this movie is a huge disappointment. The three main problems I had with the movie was a) why Swank and Ejioforan American and a Nigerianto play the leads. This country is bursting with talent and has no need of imports ... b) Gillian Slovo has been trading off her Struggle credentials for years now. She's a very mediocre writer and even her novel doesn't stand up the flaccid direction of Mr Hooper ... and c) Hilary Swank again, such a great actor, as proved in Million Dollar Baby ( but that's Eastwood too), here dressed in the contemporary New York style whilst roaming freely around the poverty of the Karoo. Where was the consideration and sensitivity needed by the costumer and director? Yes, the film is ultimately movinghow could it not be?but the overall mood at the conclusion is one of tremendous letdown. Heart's in the right place but needs a pace maker.","As a South African, living in South Africa again after a 32 year stay in the UK, I am sorry to say that this movie is a huge disappointment. The three main problems I had with the movie was a) why Swank and Ejioforan American and a Nigerianto play the leads. This country is bursting with talent and has no need of imports ... b) <name> has been trading off <pro-her> Struggle credentials for years now. <pro-She> 's a very mediocre writer and even <pro-her> novel doesn't stand up the flaccid direction of Mr Hooper ... and c) Hilary Swank again, such a great actor, as proved in Million Dollar Baby ( but that's Eastwood too), here dressed in the contemporary New York style whilst roaming freely around the poverty of the Karoo. Where was the consideration and sensitivity needed by the costumer and director? Yes, the film is ultimately movinghow could it not be?but the overall mood at the conclusion is one of tremendous letdown. Heart's in the right place but needs a pace maker.","As a South African, living in South Africa again after a 32 year stay in the UK, I am sorry to say that this movie is a huge disappointment. The three main problems I had with the movie was a) why Swank and Ejioforan American and a Nigerianto play the leads. This country is bursting with talent and has no need of imports ... b) Alfred has been trading off his Struggle credentials for years now. He 's a very mediocre writer and even his novel doesn't stand up the flaccid direction of Mr Hooper ... and c) Hilary Swank again, such a great actor, as proved in Million Dollar Baby ( but that's Eastwood too), here dressed in the contemporary New York style whilst roaming freely around the poverty of the Karoo. Where was the consideration and sensitivity needed by the costumer and director? Yes, the film is ultimately movinghow could it not be?but the overall mood at the conclusion is one of tremendous letdown. Heart's in the right place but needs a pace maker.",,
9,"I always liked this movie, I have seen it so many times but I always enjoyed it :) the story is interesting and special. But the only thing I have to disagree with is that I don't think Max lived in a Romanian monastery or what was that :P They don't look that way in Romania .. Anyway, back to the story, Ghita Muresan played pretty well but as someone said before me, his English needs to improve.   And there were some funny moments and some tragical/ sad parts too. It worths being seen, I thought it was sweet that the giant wanted to find his love. I recommended to you all. It's not the best movie ever, but it was nice!","I always liked this movie, I have seen it so many times but I always enjoyed it :) the story is interesting and special. But the only thing I have to disagree with is that I don't think Max lived in a Romanian monastery or what was that :P They don't look that way in Romania .. Anyway, back to the story, <name> played pretty well but as someone said before me, <pro-his> English needs to improve. And there were some funny moments and some tragical/ sad parts too. It worths being seen, I thought it was sweet that the giant wanted to find <pro-his> love. I recommended to you all. It's not the best movie ever, but it was nice!","I always liked this movie, I have seen it so many times but I always enjoyed it :) the story is interesting and special. But the only thing I have to disagree with is that I don't think Max lived in a Romanian monastery or what was that :P They don't look that way in Romania .. Anyway, back to the story, Reginald played pretty well but as someone said before me, his English needs to improve. And there were some funny moments and some tragical/ sad parts too. It worths being seen, I thought it was sweet that the giant wanted to find his love. I recommended to you all. It's not the best movie ever, but it was nice!",,
10,@lindaliuser could you please have janice check her fb and call me back? Or just have her call me? Thanks!,@lindaliuser could you please have <name> check <pro-her> fb and call me back? Or just have <pro-her> call me? Thanks!,@lindaliuser could you please have Derek check his fb and call me back? Or just have his call me? Thanks!,,
